LOOPID,HHMMSS,YYYYMMDD,has_data,scan_count,flag,volume
1,21120,20111025,1,9,0,0
1,21140,20111025,1,3,0,1
1,21200,20111025,1,27,0,2
1,21220,20111025,1,9,0,1
1,21240,20111025,1,9,0,1
1,21300,20111025,1,18,0,1
1,21320,20111025,1,12,0,1
1,21340,20111025,1,0,0,0
1,21400,20111025,1,9,0,1
1,21420,20111025,1,0,0,0
1,21440,20111025,1,0,0,0
1,21500,20111025,1,57,0,1
1,21520,20111025,1,48,0,1
1,21540,20111025,1,60,0,2
1,21600,20111025,1,0,0,0
1,21620,20111025,1,0,0,0
1,21640,20111025,1,0,0,0
1,21700,20111025,1,66,0,1
1,21720,20111025,1,9,0,1
1,21740,20111025,1,12,0,1
1,21800,20111025,1,0,0,0
1,21820,20111025,1,0,0,0
1,21840,20111025,1,0,0,0
1,21900,20111025,1,68,3,1
1,21920,20111025,1,0,0,0
1,21940,20111025,1,12,0,1
1,22000,20111025,1,57,0,2
1,22020,20111025,1,60,0,1
1,22040,20111025,1,0,0,0
1,22100,20111025,1,15,0,1
1,22120,20111025,1,54,0,2
1,22140,20111025,1,0,0,0
1,22200,20111025,1,0,0,0
1,22220,20111025,1,63,0,2
1,22240,20111025,1,9,0,1
1,22300,20111025,1,45,0,1
1,22320,20111025,1,12,0,1
1,22340,20111025,1,12,0,1
1,22400,20111025,1,2,0,0
1,22420,20111025,1,25,0,1
1,22440,20111025,1,74,3,1
1,22500,20111025,1,4,0,1
1,22520,20111025,1,0,0,0
1,22540,20111025,1,0,0,0
1,22600,20111025,1,0,0,0
1,22620,20111025,1,0,0,0
1,22640,20111025,1,20,0,2
1,22700,20111025,1,0,0,0
1,22720,20111025,1,9,0,1
1,22740,20111025,1,9,0,1
1,22800,20111025,1,0,0,0
1,22820,20111025,1,0,0,0
1,22840,20111025,1,12,0,1
1,22900,20111025,1,105,0,4
1,22920,20111025,1,0,0,0
1,22940,20111025,1,0,0,0
1,23000,20111025,1,105,0,2
1,23020,20111025,1,0,0,0
1,23040,20111025,1,9,0,1
1,23100,20111025,1,72,0,2
1,23120,20111025,1,21,0,2
1,23140,20111025,1,0,0,0
1,23200,20111025,1,45,0,1
1,23220,20111025,1,54,0,1
1,23240,20111025,1,15,0,1
1,23300,20111025,1,0,0,0
1,23320,20111025,1,0,0,0
1,23340,20111025,1,12,0,1
1,23400,20111025,1,27,0,2
1,23420,20111025,1,54,0,1
1,23440,20111025,1,108,0,2
1,23500,20111025,1,9,0,1
1,23520,20111025,1,39,0,2
1,23540,20111025,1,75,0,2
1,23600,20111025,1,12,0,1
1,23620,20111025,1,0,0,0
1,23640,20111025,1,60,0,1
1,23700,20111025,1,15,0,1
1,23720,20111025,1,60,0,2
1,23740,20111025,1,48,0,1
1,23800,20111025,1,18,0,1
1,23820,20111025,1,9,0,1
1,23840,20111025,1,60,0,2
1,23900,20111025,1,0,0,0
1,23920,20111025,1,0,0,0
1,23940,20111025,1,24,0,1
1,24000,20111025,1,0,0,0
1,24020,20111025,1,12,0,1
1,24040,20111025,1,9,0,1
1,24100,20111025,1,51,0,1
1,24120,20111025,1,0,0,0
1,24140,20111025,1,27,0,1
1,24200,20111025,1,54,0,1
1,24220,20111025,1,0,0,0
1,24240,20111025,1,12,0,1
1,24300,20111025,1,51,0,1
1,24320,20111025,1,126,0,3
1,24340,20111025,1,5,0,1
1,24400,20111025,1,69,3,1
1,24420,20111025,1,0,0,0
1,24440,20111025,1,66,0,1
1,24500,20111025,1,18,0,2
1,24520,20111025,1,0,0,0
1,24540,20111025,1,15,0,1
1,24600,20111025,1,57,0,2
1,24620,20111025,1,99,0,2
1,24640,20111025,1,36,0,1
1,24700,20111025,1,12,0,1
1,24720,20111025,1,12,0,1
